datetime,GroupCount,mean_BiovolumeMean,mean_BiovolumeSum,mean_BiovolumeStd,mean_BiovolumeMin,mean_BiovolumeMax,mean_EquivDiameterMean,mean_EquivDiameterSum,mean_EquivDiameterStd,mean_EquivDiameterMin,mean_EquivDiameterMax,mean_GroupCount,median_BiovolumeMean,median_BiovolumeSum,median_BiovolumeStd,median_BiovolumeMin,median_BiovolumeMax,median_EquivDiameterMean,median_EquivDiameterSum,median_EquivDiameterStd,median_EquivDiameterMin,median_EquivDiameterMax,median_GroupCount
19-May-2023,60,143939.01621064,61358116.7225853,788307.97234718,109.299397563167,14465411.4731833,54.4896769899495,22960.6792907123,29.5880693120112,6.63013443435,259.675375293333,424.583333333333,125793.034621123,52150334.0835006,321415.089305538,118.6942215,3119835.3575,54.9677574881774,23024.278791352,29.4226338599771,7.6112187115,212.7113918,424
22-May-2023,59,91282.1417714101,57022276.7079509,307384.180109738,114.149935781356,5206273.44918644,47.2237948115539,30126.2220587414,23.5934952056595,6.41591966430509,229.179967072881,646.203389830509,85179.0368170142,56647231.2725809,248200.329037627,129.7638855,3449411.138,47.5732257664542,28829.349339875,23.1964024766427,7.735777828,218.2123106,594
23-May-2023,59,86286.1246596395,68879951.7617671,372418.975078341,110.192826180508,7548909.55722034,46.0006773299543,36702.9314674438,22.9964151616712,6.54908719227119,248.676025559322,799.305084745763,81843.1982284178,64321750.7600593,246925.262898912,115.3149261,3958164.71,46.0403050155888,35132.561570144,22.4343966128311,7.653039857,229.3498317,763
25-May-2023,59,87574.673974406,97609101.0726213,387600.062749263,80.0690920552542,8992438.43328814,45.7825408115458,50567.5736718135,22.5269470262478,5.66302630567797,264.707944428814,1106.03389830508,75040.9978167761,107808396.06474,279125.449021992,92.6916275,4851768.095,45.096867354488,51210.110146967,21.0950645663671,7.312732791,244.5773233,1149
27-May-2023,59,82862.1204153555,90582609.721537,336227.773333173,103.159931770508,8200255.68954237,45.3825992388624,48580.5476658289,22.2170629540841,6.55085662230509,257.422132308475,1072.4406779661,77699.1480030948,69557351.1419322,249459.813253769,116.1261292,3324758,44.9989356995067,46935.65162006,22.0051439460177,7.39927702,229.9652245,1074
28-May-2023,59,90233.2788045097,70949230.8714194,318676.271415725,112.055735917797,6059701.98135593,47.3469273655348,36965.3814767638,22.6867467211365,6.59545281472881,240.026769723729,776.813559322034,85012.7826059663,67170237.0378958,244708.056885248,120.1959457,3044348.842,47.8257770499361,36082.533729624,22.4846564952848,7.484820637,225.9549347,738
29-May-2023,59,69464.011537518,60641666.0704807,315184.532785711,122.675599352712,7067728.17474576,42.8486949633897,38061.424081267,20.8401554133363,7.02960114366102,247.684031494915,892.762711864407,65650.9660753194,60046523.2971346,209241.103627236,124.9789352,3556115.856,42.5108364869681,36509.190408313,20.3721449277885,7.653039857,220.6897348,881
31-May-2023,4,36548.0804064252,124614731.838964,114175.806976048,84.53788375,4087991.22275,37.4342905624539,127680.852440507,14.1911175425467,5.548698317,229.3045965,3411,36557.2560085973,124785184.208832,115016.342185543,110.2998886,4138054.858,37.5288271626365,127296.841788812,14.0204071696287,7.3549863155,241.3878418,3409.5
02-Jun-2023,59,81267.1443702489,101588615.967494,331878.075917658,98.9473444459322,8389560.16928814,46.4372728722456,60208.9083230395,24.0585216873701,5.57687864725424,273.417825452542,1313.37288135593,75746.7768438363,91765931.9590214,227974.042383828,120.1268692,4346769.118,46.4601888845832,54027.711639091,23.9267861101473,7.569397566,252.5578775,1150
03-Jun-2023,13,57290.9873698956,194777042.846274,203440.487108528,87.9525230938462,7281755.10738462,43.9210032397461,149297.78347789,17.36472094982,5.76571368476923,269.847915423077,3398.53846153846,55000.1843620583,189318523.942441,174464.783206505,89.48986053,4759045.5,43.5409043831037,148431.676092353,16.6709581542062,7.312732791,254.6514544,3404
04-Jun-2023,26,54002.9834026915,206803095.890214,169252.655707956,54.9479076823077,6165185.9885,44.0095523417723,169386.280731217,15.790206457614,3.82349091107692,240.589628996154,3855.19230769231,53941.8306285476,202927101.623872,150847.907222337,33.263923645,4404890.3335,43.3059637083701,168067.621951984,15.5919996925639,3.612575997,230.4096898,3818
05-Jun-2023,59,53315.5478963135,126157922.170938,272770.237574076,69.2645699498305,10007363.864322,41.2118028393129,98895.5413795237,18.5199213524643,4.3908257840339,278.819278533898,2407.93220338983,52918.1525531944,117991036.76413,185758.244314749,86.77703094,5671726,41.9053377663191,93167.69596295,18.5137268768896,7.225151994,254.5114179,2248
07-Jun-2023,30,46183.5057444476,59006648.9108715,194766.123092551,74.709961187,4954219.66846667,38.7726823550541,53214.1130064796,19.1174502287503,4.61098074623333,238.26160448,1375.1,44718.8362419971,57230201.5680782,180321.761173584,101.57019805,4188997.0665,39.2588033155736,48352.2508745085,17.8034241637521,7.312732791,243.2078545,1362.5
08-Jun-2023,59,49505.9976021836,93152281.0401759,194911.877730037,84.594782320678,5787371.80341864,42.0407034289676,90171.4359439541,16.6598608615075,5.03131972479661,234.282775879661,2187.15254237288,43053.0235239953,75448203.0846763,140714.391757042,110.4517365,3296911.685,41.2286601031409,70452.366029028,15.7127038510012,7.312732791,213.3800509,1732
11-Jun-2023,3,38426.5736742177,134587963.842105,164496.536707594,66.9875717,5185916.79066667,38.2211592463213,133903.179160026,14.2595774157277,4.90400327033333,236.4365915,3503.33333333333,37837.1787960637,136024657.771849,160641.214152676,77.1366806,4851273.163,38.2662180979032,132299.569193648,14.3453219513481,7.312732791,241.8314263,3462
12-Jun-2023,58,37655.2582483908,104754904.751086,141810.963236312,82.6800352274138,5316383.93032759,39.4824346571592,113556.707853917,13.1050034135974,5.92001027587931,223.983856303448,2895.10344827586,35243.9924163813,105660811.016501,110420.571281836,97.36627197,3721467.5635,38.9021871697702,120426.549477889,12.4196299754317,7.312732791,213.9163995,3083.5
13-Jun-2023,49,33415.4150000127,147119973.550851,140644.94646061,65.7223276044898,6851319.63516327,39.1663601658621,174178.496100479,12.088748322339,4.8614465327551,243.019855904082,4462.34693877551,34517.3895639627,143105195.786283,100725.352586675,85.74700165,3812801.516,39.2568756170701,169511.341465815,11.9189723840034,7.312732791,233.0833716,4308
14-Jun-2023,59,37621.226601935,115021756.496224,152362.296280306,110.433657104576,5634135.90579661,40.6465125880696,124401.730324958,14.0051072826277,6.94739161164407,228.987374076271,3057.62711864407,36400.786118835,106260139.707438,121862.685702214,110.1385574,3492657.91,40.6405471070943,115234.777349369,13.8067894482132,7.39927702,206.3947079,2877
15-Jun-2023,1,51978.462227797,169449786.862618,302917.058080816,72.70144653,14195258.92,43.7177730902988,142519.940274374,17.4145228374057,7.735777828,331.6167961,3260,51978.462227797,169449786.862618,302917.058080816,72.70144653,14195258.92,43.7177730902988,142519.940274374,17.4145228374057,7.735777828,331.6167961,3260
